movie,title,avgRating
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4152,WIR SIND DIE NACHT,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4140,UnknownMovie4140,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie12,UnknownMovie12,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3727,ENTER THE VOID,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3844,JACKASS 3,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3851,UnknownMovie3851,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3870,AMERICAN HISTORY X,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4255,OUR IDIOT BROTHER,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie106,I LOVE YOUR WORK,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3938,BULLITT,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie128,IP MAN,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3637,SRPSKI FILM,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3642,THE GIRL WITH THE DRAGON TATTOO,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4084,OLD BOY,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie117,OKURIBITO,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie1890,UnknownMovie1890,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3932,SINGLES,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3854,WORLD'S GREATEST DAD,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4113,UNITED 93,5.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie47,INCEPTION,4.3333335
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie201,WINTER'S BONE,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4137,UnknownMovie4137,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie177,THE WARRIORS,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie209,MISS CONGENIALITY,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie204,UnknownMovie204,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3716,BURIED,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3852,UnknownMovie3852,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4036,RISE OF THE PLANET OF THE APES,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4070,"CRAZY, STUPID, LOVE",4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie66,MACHETE,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3838,UnknownMovie3838,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie21,ANTICHRIST,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3588,HOSTAGE,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4169,BRIDGET JONES: THE EDGE OF REASON,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4262,LAWS OF ATTRACTION,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie4297,17 AGAIN,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3562,PALMETTO,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3620,OCEAN'S ELEVEN,4.0
http://www.semanticweb.org/emili/ontologies/2025/3/recommendations/Movie3933,INSIDIOUS,4.0
